Date,Ozone AQI Value,Site Name,Site ID,Source
9/19/2009,61,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/20/2009,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/21/2009,64,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/22/2009,54,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/23/2009,58,Redding - Health Department,06-089-0004,AQS
9/24/2009,84,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/25/2009,74,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/26/2009,47,Anderson - North Street,06-089-0007,AQS
9/27/2009,61,Redding - Health Department,06-089-0004,AQS
9/28/2009,64,Anderson - North Street,06-089-0007,AQS
9/29/2009,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/30/2009,33,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/1/2009,34,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/2/2009,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/3/2009,35,Anderson - North Street,06-089-0007,AQS
10/4/2009,31,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/5/2009,30,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/6/2009,31,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/7/2009,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/8/2009,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/9/2009,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/10/2009,34,Anderson - North Street,06-089-0007,AQS
10/11/2009,47,Anderson - North Street,06-089-0007,AQS
10/12/2009,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/13/2009,35,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/14/2009,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/15/2009,24,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/16/2009,24,Redding - Health Department,06-089-0004,AQS
10/17/2009,32,Anderson - North Street,06-089-0007,AQS
10/18/2009,27,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/19/2009,31,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/20/2009,28,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/21/2009,30,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/22/2009,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/23/2009,30,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/24/2009,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/25/2009,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/26/2009,37,Redding - Health Department,06-089-0004,AQS
10/27/2009,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/28/2009,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
