Date,Ozone AQI Value,Site Name,Site ID,Source
12/21/2008,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
12/22/2008,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
12/23/2008,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
12/24/2008,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
12/25/2008,31,Redding - Health Department,06-089-0004,AQS
12/26/2008,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
12/27/2008,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
12/28/2008,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
12/29/2008,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
12/30/2008,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
12/31/2008,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/1/2009,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/2/2009,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/3/2009,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/4/2009,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/5/2009,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/6/2009,31,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/7/2009,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/8/2009,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/9/2009,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/10/2009,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/11/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/12/2009,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/13/2009,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/14/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/15/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/16/2009,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/17/2009,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/18/2009,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/19/2009,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/20/2009,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/21/2009,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/22/2009,30,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/23/2009,25,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/24/2009,34,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/25/2009,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/26/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/27/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/28/2009,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/29/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/30/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/31/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/1/2009,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/2/2009,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/3/2009,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/4/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/5/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/6/2009,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/7/2009,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/8/2009,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/9/2009,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/10/2009,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/11/2009,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/12/2009,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/13/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/14/2009,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/15/2009,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/16/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/17/2009,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/18/2009,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/19/2009,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/20/2009,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/21/2009,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/22/2009,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/23/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/24/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/25/2009,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/26/2009,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/27/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/28/2009,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/1/2009,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/2/2009,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/3/2009,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
