"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"06/13/2003","119","","Santa Clarita","06-037-6012","AQS"
"06/14/2003","197","","Santa Clarita","06-037-6012","AQS"
"06/15/2003","213","","Santa Clarita","06-037-6012","AQS"
"06/16/2003","195","","Lancaster-Division Street","06-037-9033","AQS"
"06/17/2003","208","","Santa Clarita","06-037-6012","AQS"
"06/18/2003","185","","Lancaster-Division Street","06-037-9033","AQS"
"06/19/2003","93","","Lancaster-Division Street","06-037-9033","AQS"
"06/20/2003","47","","Lancaster-Division Street","06-037-9033","AQS"
"06/21/2003","51","","Lancaster-Division Street","06-037-9033","AQS"
"06/22/2003","64","","Lancaster-Division Street","06-037-9033","AQS"
"06/23/2003","71","","Lancaster-Division Street","06-037-9033","AQS"
"06/24/2003","71","","Santa Clarita","06-037-6012","AQS"
"06/25/2003","119","","Santa Clarita","06-037-6012","AQS"
"06/26/2003","154","","Santa Clarita","06-037-6012","AQS"
"06/27/2003","206","","Santa Clarita","06-037-6012","AQS"
"06/28/2003","220","","Santa Clarita","06-037-6012","AQS"
"06/29/2003","205","","Santa Clarita","06-037-6012","AQS"
"06/30/2003","169","","Pasadena","06-037-2005","AQS"
"07/01/2003","203","","Santa Clarita","06-037-6012","AQS"
"07/02/2003","200","","Santa Clarita","06-037-6012","AQS"
"07/03/2003","93","","Glendora","06-037-0016","AQS"
"07/04/2003","209","","Santa Clarita","06-037-6012","AQS"
"07/05/2003","222","","Santa Clarita","06-037-6012","AQS"
