"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/09/2002","230","","Santa Clarita","06-037-6012","AQS"
"07/10/2002","241","","Santa Clarita","06-037-6012","AQS"
"07/11/2002","147","","Lancaster-Division Street","06-037-9033","AQS"
"07/12/2002","159","","Santa Clarita","06-037-6012","AQS"
"07/13/2002","164","","Santa Clarita","06-037-6012","AQS"
"07/14/2002","213","","Santa Clarita","06-037-6012","AQS"
"07/15/2002","90","","Lancaster-Division Street","06-037-9033","AQS"
"07/16/2002","47","","Lancaster-Division Street","06-037-9033","AQS"
"07/17/2002","61","","Santa Clarita","06-037-6012","AQS"
"07/18/2002","100","","Santa Clarita","06-037-6012","AQS"
"07/19/2002","143","","Santa Clarita","06-037-6012","AQS"
"07/20/2002","143","","Santa Clarita","06-037-6012","AQS"
"07/21/2002","159","","Santa Clarita","06-037-6012","AQS"
"07/22/2002","87","","Santa Clarita","06-037-6012","AQS"
"07/23/2002","93","","Reseda","06-037-1201","AQS"
"07/24/2002","119","","Santa Clarita","06-037-6012","AQS"
"07/25/2002","140","","Santa Clarita","06-037-6012","AQS"
"07/26/2002","143","","Lancaster-Division Street","06-037-9033","AQS"
"07/27/2002","115","","Santa Clarita","06-037-6012","AQS"
"07/28/2002","119","","Lancaster-Division Street","06-037-9033","AQS"
"07/29/2002","179","","Lancaster-Division Street","06-037-9033","AQS"
"07/30/2002","200","","Santa Clarita","06-037-6012","AQS"
"07/31/2002","205","","Santa Clarita","06-037-6012","AQS"
"08/01/2002","202","","Santa Clarita","06-037-6012","AQS"
"08/02/2002","90","","Santa Clarita","06-037-6012","AQS"
"08/03/2002","119","","Lancaster-Division Street","06-037-9033","AQS"
"08/04/2002","161","","Pomona","06-037-1701","AQS"
"08/05/2002","84","","West Los Angeles","06-037-0113","AQS"
"08/06/2002","44","","Lancaster-Division Street","06-037-9033","AQS"
"08/07/2002","100","","Lancaster-Division Street","06-037-9033","AQS"
"08/08/2002","187","","Santa Clarita","06-037-6012","AQS"
"08/09/2002","179","","Santa Clarita","06-037-6012","AQS"
"08/10/2002","212","","Santa Clarita","06-037-6012","AQS"
"08/11/2002","239","","Santa Clarita","06-037-6012","AQS"
"08/12/2002","203","","Santa Clarita","06-037-6012","AQS"
"08/13/2002","195","","Lancaster-Division Street","06-037-9033","AQS"
"08/14/2002","179","","Lancaster-Division Street","06-037-9033","AQS"
"08/15/2002","182","","Lancaster-Division Street","06-037-9033","AQS"
"08/16/2002","169","","Lancaster-Division Street","06-037-9033","AQS"
"08/17/2002","202","","Lancaster-Division Street","06-037-9033","AQS"
"08/18/2002","192","","Lancaster-Division Street","06-037-9033","AQS"
"08/19/2002","151","","Lancaster-Division Street","06-037-9033","AQS"
"08/20/2002","119","","Lancaster-Division Street","06-037-9033","AQS"
"08/21/2002","133","","Santa Clarita","06-037-6012","AQS"
"08/22/2002","154","","Santa Clarita","06-037-6012","AQS"
"08/23/2002","159","","Santa Clarita","06-037-6012","AQS"
